City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,jardim,-21.4803,-56.1381,23.59,49,85,1.8,BR,1688772678
376,krasnoarmeysk,51.0239,45.6969,20.26,62,0,2.91,RU,1688772678
377,santa terezinha,-29.9002,-50.0904,17.37,95,100,5.39,BR,1688772678
378,atafu village,-8.5421,-172.5159,28.5,77,38,9.49,TK,1688772678
379,east london,-33.0153,27.9116,18.78,64,100,5.08,ZA,1688772679
380,lamu,-2.2717,40.902,24.12,78,40,7.05,KE,1688772679
381,marolambo,-20.05,48.1167,15.75,96,75,1.38,MG,1688772679
382,bilajer,40.5681,50.0378,24.9,94,0,2.06,AZ,1688772679
383,araguaina,-7.1911,-48.2072,26.98,38,9,1.86,BR,1688772680
384,natal,-5.795,-35.2094,23.36,100,40,1.54,BR,1688772680
385,happy valley-goose bay,53.3168,-60.3315,25.17,53,75,4.12,CA,1688772680
386,acapulco de juarez,16.8634,-99.8901,30.9,70,40,2.06,MX,1688772681
387,kinshasa,-4.3246,15.3215,22.21,83,9,0.51,CD,1688772558
388,lovisa,60.4566,26.2251,12.94,95,10,2.26,FI,1688772681
389,rundu,-17.9333,19.7667,10.82,39,0,3.0,NA,1688772607
390,san antonio de pale,-1.4014,5.6325,23.15,88,100,6.11,GQ,1688772682
391,maigo,8.1613,123.9583,27.84,79,71,0.81,PH,1688772682
392,mumford,5.2618,-0.759,23.87,92,48,4.43,GH,1688772682
393,saldanha,-33.0117,17.9442,12.03,71,4,8.73,ZA,1688772683
394,berdigestyakh,62.0989,126.6992,14.55,78,69,5.74,RU,1688772683
395,ajaccio,42.0,8.9167,22.99,65,75,2.57,FR,1688772683
396,coahuayana de hidalgo,18.7,-103.6583,30.99,70,38,3.81,MX,1688772683
397,chazuta,-6.5742,-76.1367,31.47,95,56,0.77,PE,1688772684
398,ola,59.5833,151.2833,15.68,66,87,1.98,RU,1688772684
399,troitsk,54.0979,61.5773,16.45,66,100,3.1,RU,1688772685
400,venezuela,8.0,-66.0,27.74,74,85,3.69,VE,1688772685
401,san fernando de apure,7.8878,-67.4724,24.57,90,59,1.36,VE,1688772685
402,sitia,35.2,26.0986,29.43,72,0,6.98,GR,1688772685
403,cerritos,33.8583,-118.0648,32.07,60,0,4.63,US,1688772524
404,vorkuta,67.5,64.0,11.27,95,99,2.98,RU,1688772686
405,arecibo,18.4724,-66.7157,29.59,82,99,0.45,PR,1688772686
406,sao joao da barra,-21.6403,-41.0511,19.05,79,4,5.3,BR,1688772686
407,jincheng,35.5022,112.8328,27.21,32,3,1.98,CN,1688772557
408,tchaourou,8.8865,2.5975,22.64,96,100,2.31,BJ,1688772687
409,buala,-8.145,159.5921,27.19,86,95,3.98,SB,1688772687
410,ilheus,-14.7889,-39.0494,23.9,94,40,1.03,BR,1688772687
411,margherita,27.2833,95.6833,24.4,99,100,0.21,IN,1688772688
412,port isabel,26.0734,-97.2086,33.04,76,0,5.66,US,1688772688
413,saint-francois,46.4154,3.9054,22.69,64,100,3.6,FR,1688772688
